鄉鎮市區,交易標的,臨路,土地移轉坪數,都市土地使用分區,總樓層,頂樓註記,屋齡,建物移轉坪數,管理組織,車位總面積,單價,車位總價
鳳山區,房地(土地+建物)+車位,N,6.3,住宅區,14,N,18.1,56.85,Y,0,14.6,0
鼓山區,房地(土地+建物)+車位,Y,8.08,住宅區,19,N,2.9,96.39,Y,11.53,20.3,0
三民區,房地(土地+建物)+車位,Y,6.76,商業區,19,N,25.5,106.25,N,0,10.4,0
橋頭區,房地(土地+建物)+車位,Y,3.27,住宅區,15,N,0.3,25.63,Y,0,17.9,0
鳳山區,房地(土地+建物),Y,4.83,住宅區,15,N,0.8,27.42,Y,0,18,0
左營區,房地(土地+建物)+車位,Y,7.93,商業區,12,Y,23.5,89.4,Y,0,18.5,0
小港區,房地(土地+建物)+車位,Y,6.03,住宅區,11,N,4.2,53.61,Y,8.03,13.1,0
苓雅區,房地(土地+建物)+車位,Y,4.99,商業區,15,N,1.3,78.21,Y,5.45,23.7,0
前金區,房地(土地+建物)+車位,Y,2.11,商業區,15,Y,10.4,29.73,Y,2.88,21,0
前鎮區,房地(土地+建物)+車位,Y,5.61,住宅區,18,N,2.1,57.57,Y,4.61,23,185
仁武區,房地(土地+建物),Y,2.98,商業區,15,N,1.7,29.73,Y,0,19.7,0
前鎮區,房地(土地+建物),Y,0.39,商業區,39,N,20.4,11.98,Y,0,18.4,0
左營區,房地(土地+建物)+車位,Y,5.39,住宅區,15,N,13.6,41.64,Y,0,17.5,0
楠梓區,房地(土地+建物),N,1.41,住宅區,15,N,2.5,13.58,Y,0,20.3,0
苓雅區,房地(土地+建物)+車位,Y,5.22,商業區,24,N,4.8,80.78,Y,6.2,27.3,0
左營區,房地(土地+建物)+車位,Y,4.28,住宅區,15,Y,0.8,32.07,Y,0,22.7,0
三民區,房地(土地+建物)+車位,Y,4.99,住宅區,15,N,4.9,48.99,Y,7.03,20.6,0
鳳山區,房地(土地+建物),Y,4.27,住宅區,14,N,22.1,38.31,Y,0,12.8,0
小港區,房地(土地+建物),Y,3.14,住宅區,14,N,13.2,26.99,Y,0,13,0
左營區,房地(土地+建物)+車位,Y,3.28,商業區,28,N,1.3,60.81,Y,10.06,24.3,0
鳳山區,房地(土地+建物),Y,4.45,住宅區,16,N,22.4,38.47,N,0,13,0
左營區,房地(土地+建物),N,2.5,住宅區,20,N,22.8,30.08,Y,0,14,0
